ticker,biotech_calibration_cohort,reason
ZURA,early_clinical_speculative_or_single_asset_pipeline,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
ZVRA,commercial_turnaround_or_unprofitable_growth,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
ABEO,commercial_turnaround_or_unprofitable_growth,user-approved cohort reorganization effective 2026-08-31; prior_cohort=early_clinical_speculative_or_single_asset_pipeline; source=user_approved_cohort_reorganization_20260830
ABOS,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
ACIU,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
ACRS,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
ADCT,commercial_turnaround_or_unprofitable_growth,user-approved cohort reorganization effective 2026-08-31; prior_cohort=early_clinical_speculative_or_single_asset_pipeline; source=user_approved_cohort_reorganization_20260830
AKTS,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
ALDX,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=early_clinical_speculative_or_single_asset_pipeline; source=user_approved_cohort_reorganization_20260830
ALEC,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
ALMS,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=early_clinical_speculative_or_single_asset_pipeline; source=user_approved_cohort_reorganization_20260830
ALXO,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
ANRO,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
APGE,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
AQST,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=early_clinical_speculative_or_single_asset_pipeline; source=user_approved_cohort_reorganization_20260830
ASMB,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
AURA,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=early_clinical_speculative_or_single_asset_pipeline; source=user_approved_cohort_reorganization_20260830
AVBP,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
AVIR,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
AVTX,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
BBNX,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
BBOT,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
BCRX,commercial_profitable_quality_or_mature,user-approved cohort reorganization effective 2026-08-31; prior_cohort=early_clinical_speculative_or_single_asset_pipeline; source=user_approved_cohort_reorganization_20260830
BHVN,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=early_clinical_speculative_or_single_asset_pipeline; source=user_approved_cohort_reorganization_20260830
BMEA,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
CAPR,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=early_clinical_speculative_or_single_asset_pipeline; source=user_approved_cohort_reorganization_20260830
CATX,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
CBIO,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
CBLL,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
CELC,commercial_turnaround_or_unprofitable_growth,user-approved cohort reorganization effective 2026-08-31; prior_cohort=early_clinical_speculative_or_single_asset_pipeline; source=user_approved_cohort_reorganization_20260830
CGEM,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
CGON,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=early_clinical_speculative_or_single_asset_pipeline; source=user_approved_cohort_reorganization_20260830
CHRS,commercial_turnaround_or_unprofitable_growth,user-approved cohort reorganization effective 2026-08-31; prior_cohort=early_clinical_speculative_or_single_asset_pipeline; source=user_approved_cohort_reorganization_20260830
CMPX,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=early_clinical_speculative_or_single_asset_pipeline; source=user_approved_cohort_reorganization_20260830
CNTX,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
COGT,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=early_clinical_speculative_or_single_asset_pipeline; source=user_approved_cohort_reorganization_20260830
COYA,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
CRBP,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
CRVS,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=early_clinical_speculative_or_single_asset_pipeline; source=user_approved_cohort_reorganization_20260830
DRUG,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
DSGN,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
DYN,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=early_clinical_speculative_or_single_asset_pipeline; source=user_approved_cohort_reorganization_20260830
EDSA,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
ELVN,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
EQ,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
ERAS,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
EVMN,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
FULC,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
GLUE,platform_partnered_modality_pipeline,user-approved cohort reorganization effective 2026-08-31; prior_cohort=early_clinical_speculative_or_single_asset_pipeline; source=user_approved_cohort_reorganization_20260830
IKT,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
IMMX,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
IMRX,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
INO,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
IRD,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
IRON,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=early_clinical_speculative_or_single_asset_pipeline; source=user_approved_cohort_reorganization_20260830
IVA,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
JBIO,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
JSPR,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
KYNB,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
KURA,commercial_turnaround_or_unprofitable_growth,user-approved cohort reorganization effective 2026-08-31; prior_cohort=early_clinical_speculative_or_single_asset_pipeline; source=user_approved_cohort_reorganization_20260830
LENZ,commercial_turnaround_or_unprofitable_growth,user-approved cohort reorganization effective 2026-08-31; prior_cohort=early_clinical_speculative_or_single_asset_pipeline; source=user_approved_cohort_reorganization_20260830
LRMR,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
MBX,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
MDWD,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=early_clinical_speculative_or_single_asset_pipeline; source=user_approved_cohort_reorganization_20260830
MLYS,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=early_clinical_speculative_or_single_asset_pipeline; source=user_approved_cohort_reorganization_20260830
MNPR,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
NKTR,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=early_clinical_speculative_or_single_asset_pipeline; source=user_approved_cohort_reorganization_20260830
OCUL,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=early_clinical_speculative_or_single_asset_pipeline; source=user_approved_cohort_reorganization_20260830
OLMA,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=early_clinical_speculative_or_single_asset_pipeline; source=user_approved_cohort_reorganization_20260830
OMER,commercial_turnaround_or_unprofitable_growth,user-approved cohort reorganization effective 2026-08-31; prior_cohort=early_clinical_speculative_or_single_asset_pipeline; source=user_approved_cohort_reorganization_20260830
ORIC,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
ORKA,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
PALI,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
PASG,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
PEPG,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
PTGX,platform_partnered_modality_pipeline,user-approved cohort reorganization effective 2026-08-31; prior_cohort=early_clinical_speculative_or_single_asset_pipeline; source=user_approved_cohort_reorganization_20260830
RAPP,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
RLMD,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
RZLT,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=early_clinical_speculative_or_single_asset_pipeline; source=user_approved_cohort_reorganization_20260830
SLS,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=early_clinical_speculative_or_single_asset_pipeline; source=user_approved_cohort_reorganization_20260830
SXTP,early_clinical_speculative_or_single_asset_pipeline,early clinical speculative or single asset calibration cohort
UNCY,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=early_clinical_speculative_or_single_asset_pipeline; source=user_approved_cohort_reorganization_20260830
XFOR,commercial_turnaround_or_unprofitable_growth,user-approved cohort reorganization effective 2026-08-31; prior_cohort=early_clinical_speculative_or_single_asset_pipeline; source=user_approved_cohort_reorganization_20260830
ACRV,early_clinical_speculative_or_single_asset_pipeline,added from current scoring universe; clinical-stage single-asset/speculative pipeline
ADPT,commercial_turnaround_or_unprofitable_growth,added from current scoring universe; commercial diagnostics/unprofitable growth driver
ALLR,early_clinical_speculative_or_single_asset_pipeline,added from current scoring universe; clinical-stage speculative pipeline
ANIK,commercial_profitable_quality_or_mature,added from current scoring universe; commercial device/orthobiologics driver
ANIX,early_clinical_speculative_or_single_asset_pipeline,added from current scoring universe; clinical-stage speculative pipeline
APLM,early_clinical_speculative_or_single_asset_pipeline,added from current scoring universe; clinical-stage speculative oncology pipeline
ATHE,early_clinical_speculative_or_single_asset_pipeline,added from current scoring universe; clinical-stage speculative neurologic pipeline
ATNM,late_clinical_pivotal_or_registrational,added from current scoring universe; late-stage radiopharma/registrational clinical driver
BOLD,platform_partnered_modality_pipeline,added from current scoring universe; modality/platform oncology pipeline driver
CELZ,early_clinical_speculative_or_single_asset_pipeline,added from current scoring universe; early clinical cell-therapy/speculative pipeline
CGEN,platform_partnered_modality_pipeline,added from current scoring universe; immuno-oncology platform/partnered pipeline driver
CLYM,early_clinical_speculative_or_single_asset_pipeline,added from current scoring universe; clinical-stage speculative pipeline
CMND,early_clinical_speculative_or_single_asset_pipeline,added from current scoring universe; early clinical speculative CNS pipeline
CSBR,commercial_turnaround_or_unprofitable_growth,added from current scoring universe; commercial oncology services execution driver
DMAC,late_clinical_pivotal_or_registrational,added from current scoring universe; late-stage clinical/pivotal development driver
ENTA,platform_partnered_modality_pipeline,added from current scoring universe; multi-asset antiviral discovery/pipeline driver
FBRX,early_clinical_speculative_or_single_asset_pipeline,added from current scoring universe; clinical-stage speculative pipeline
FHTX,platform_partnered_modality_pipeline,added from current scoring universe; chromatin/modality platform pipeline driver
GH,commercial_turnaround_or_unprofitable_growth,added from current scoring universe; commercial diagnostics/unprofitable growth driver
IGC,early_clinical_speculative_or_single_asset_pipeline,added from current scoring universe; early clinical speculative pipeline
KIDS,commercial_turnaround_or_unprofitable_growth,added from current scoring universe; commercial medtech growth/execution driver
KPRX,early_clinical_speculative_or_single_asset_pipeline,added from current scoring universe; clinical-stage speculative pipeline
LONA,early_clinical_speculative_or_single_asset_pipeline,added from current scoring universe; early clinical/speculative pipeline
LUNG,commercial_turnaround_or_unprofitable_growth,added from current scoring universe; commercial medtech growth/execution driver
MBRX,early_clinical_speculative_or_single_asset_pipeline,added from current scoring universe; clinical-stage speculative oncology pipeline
MNOV,late_clinical_pivotal_or_registrational,added from current scoring universe; late-stage clinical development driver
MOLN,platform_partnered_modality_pipeline,added from current scoring universe; partnered/modality platform pipeline driver
MSLE,early_clinical_speculative_or_single_asset_pipeline,added from current scoring universe; early clinical speculative pipeline
NGEN,early_clinical_speculative_or_single_asset_pipeline,added from current scoring universe; early clinical speculative neurologic pipeline
NVCT,early_clinical_speculative_or_single_asset_pipeline,added from current scoring universe; clinical-stage speculative oncology pipeline
PGEN,commercial_turnaround_or_unprofitable_growth,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
PHGE,platform_partnered_modality_pipeline,added from current scoring universe; phage/modality platform pipeline driver
PLRX,late_clinical_pivotal_or_registrational,added from current scoring universe; late-stage clinical/pivotal development driver
PMN,early_clinical_speculative_or_single_asset_pipeline,added from current scoring universe; early clinical speculative neurodegeneration pipeline
PMVP,early_clinical_speculative_or_single_asset_pipeline,added from current scoring universe; clinical-stage speculative oncology pipeline
PRLD,early_clinical_speculative_or_single_asset_pipeline,added from current scoring universe; clinical-stage speculative oncology pipeline
PRQR,platform_partnered_modality_pipeline,added from current scoring universe; RNA/oligonucleotide platform pipeline driver
RADX,platform_partnered_modality_pipeline,added from current scoring universe; radiopharma modality platform pipeline driver
RNA,platform_partnered_modality_pipeline,added from current scoring universe; RNA modality platform pipeline driver
SGHT,commercial_turnaround_or_unprofitable_growth,added from current scoring universe; commercial medtech turnaround/execution driver
TCRX,platform_partnered_modality_pipeline,added from current scoring universe; TCR/cell-therapy platform pipeline driver
TLSA,early_clinical_speculative_or_single_asset_pipeline,added from current scoring universe; clinical-stage speculative pipeline
TLSI,commercial_turnaround_or_unprofitable_growth,added from current scoring universe; commercial medtech/therapeutic execution driver
VANI,platform_partnered_modality_pipeline,added from current scoring universe; implant/modality platform pipeline driver
VCYT,commercial_profitable_quality_or_mature,added from current scoring universe; commercial diagnostics quality/mature driver
WHWK,early_clinical_speculative_or_single_asset_pipeline,added from current scoring universe; clinical-stage speculative pipeline
XBIT,early_clinical_speculative_or_single_asset_pipeline,added from current scoring universe; clinical-stage speculative pipeline
AARD,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; narrow early clinical therapeutic pipeline
ACHV,late_clinical_pivotal_or_registrational,added from 2026-06-24 scoring universe; late-stage registrational therapeutic driver
ACTU,late_clinical_pivotal_or_registrational,added from 2026-06-24 scoring universe; phase 2/3 oncology development driver
ACXP,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; narrow clinical-stage anti-infective pipeline
ADIL,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; speculative therapeutic pipeline
AEON,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; speculative therapeutic pipeline
AGEN,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
ALGS,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; clinical-stage therapeutic pipeline
ANVS,late_clinical_pivotal_or_registrational,added from 2026-06-24 scoring universe; late-stage neurodegeneration development driver
APVO,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; narrow clinical therapeutic pipeline
ARMP,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; speculative anti-infective pipeline
ATOS,late_clinical_pivotal_or_registrational,added from 2026-06-24 scoring universe; late clinical therapeutic catalyst driver
BCTX,late_clinical_pivotal_or_registrational,added from 2026-06-24 scoring universe; phase 2/3 oncology development driver
BDRX,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; collaborator-heavy speculative pipeline
BIVI,late_clinical_pivotal_or_registrational,added from 2026-06-24 scoring universe; late-stage neurodegeneration development driver
BOLT,platform_partnered_modality_pipeline,added from 2026-06-24 scoring universe; immuno-oncology modality platform pipeline driver
CANF,late_clinical_pivotal_or_registrational,added from 2026-06-24 scoring universe; multi-program phase 2/3 therapeutic driver
CLLS,platform_partnered_modality_pipeline,added from 2026-06-24 scoring universe; gene-editing and cell-therapy platform driver
CLRB,late_clinical_pivotal_or_registrational,added from 2026-06-24 scoring universe; late clinical oncology development driver
CNSP,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; single-asset clinical therapeutic pipeline
COCP,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; narrow clinical anti-viral pipeline
CRDF,late_clinical_pivotal_or_registrational,added from 2026-06-24 scoring universe; phase 2/3 oncology development driver
CRIS,late_clinical_pivotal_or_registrational,added from 2026-06-24 scoring universe; late clinical oncology development driver
CRVO,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; collaborator-heavy clinical pipeline
CYCN,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; speculative therapeutic pipeline
DBVT,late_clinical_pivotal_or_registrational,added from 2026-06-24 scoring universe; registrational allergy therapeutic driver
DERM,commercial_turnaround_or_unprofitable_growth,added from 2026-06-24 scoring universe; commercial dermatology execution driver
DNTH,late_clinical_pivotal_or_registrational,added from 2026-06-24 scoring universe; multi-program phase 2/3 therapeutic driver
DRMA,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; speculative therapeutic pipeline
DWTX,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; narrow clinical therapeutic pipeline
ENTX,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
FBLG,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; narrow early clinical therapeutic pipeline
FTH,late_clinical_pivotal_or_registrational,successor ticker for SNSE/Faeth Therapeutics; retain late clinical calibration cohort
GALT,late_clinical_pivotal_or_registrational,added from 2026-06-24 scoring universe; late clinical liver-disease development driver
GANX,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; early clinical therapeutic pipeline
GENB,platform_partnered_modality_pipeline,added from 2026-06-24 scoring universe; biologics platform and multi-program pipeline driver
GLSI,late_clinical_pivotal_or_registrational,added from 2026-06-24 scoring universe; late clinical immunotherapy development driver
GNLX,late_clinical_pivotal_or_registrational,added from 2026-06-24 scoring universe; phase 2/3 oncology development driver
GNPX,platform_partnered_modality_pipeline,added from 2026-06-24 scoring universe; gene-therapy platform pipeline driver
GRI,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; speculative therapeutic pipeline
HOTH,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; speculative therapeutic pipeline
HUMA,late_clinical_pivotal_or_registrational,added from 2026-06-24 scoring universe; registrational regenerative medicine driver
HURA,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=early_clinical_speculative_or_single_asset_pipeline; source=user_approved_cohort_reorganization_20260830
ICU,commercial_turnaround_or_unprofitable_growth,added from 2026-06-24 scoring universe; emerging commercial device/therapeutic execution driver
IMNN,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
INAB,platform_partnered_modality_pipeline,added from 2026-06-24 scoring universe; cell-therapy modality platform driver
INDP,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; single-asset clinical therapeutic pipeline
INMB,platform_partnered_modality_pipeline,added from 2026-06-24 scoring universe; immune-modulation platform pipeline driver
INTS,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; narrow clinical oncology pipeline
KZR,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; speculative therapeutic pipeline
LIXT,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; single-asset clinical oncology pipeline
LPCN,commercial_turnaround_or_unprofitable_growth,added from 2026-06-24 scoring universe; commercial/relaunch execution driver
LSTA,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; speculative clinical oncology pipeline
MBIO,platform_partnered_modality_pipeline,added from 2026-06-24 scoring universe; cell-therapy platform pipeline driver
MCRB,commercial_turnaround_or_unprofitable_growth,added from 2026-06-24 scoring universe; commercial transition and pipeline execution driver
MRKR,platform_partnered_modality_pipeline,added from 2026-06-24 scoring universe; cell-therapy platform pipeline driver
NCNA,platform_partnered_modality_pipeline,added from 2026-06-24 scoring universe; nucleotide/prodrug modality platform driver
NTHI,late_clinical_pivotal_or_registrational,added from 2026-06-24 scoring universe; phase 2/3 oncology development driver
NXTC,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; clinical-stage therapeutic pipeline
OCGN,late_clinical_pivotal_or_registrational,added from 2026-06-24 scoring universe; late clinical ocular/gene-therapy catalyst driver
OGEN,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; single-asset clinical therapeutic pipeline
ONCY,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
PCSA,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; narrow clinical therapeutic pipeline
PHIO,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; speculative therapeutic pipeline
PLYX,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; narrow clinical therapeutic pipeline
PPBT,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; collaborator-heavy speculative oncology pipeline
PRTC,platform_partnered_modality_pipeline,added from 2026-06-24 scoring universe; partnered platform and pipeline optionality driver
PTN,commercial_turnaround_or_unprofitable_growth,added from 2026-06-24 scoring universe; commercial therapeutic execution driver
PULM,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; narrow respiratory clinical pipeline
PYPD,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=early_clinical_speculative_or_single_asset_pipeline; source=user_approved_cohort_reorganization_20260830
PYXS,platform_partnered_modality_pipeline,added from 2026-06-24 scoring universe; antibody-drug conjugate oncology platform driver
RCEL,commercial_turnaround_or_unprofitable_growth,added from 2026-06-24 scoring universe; commercial regenerative-device execution driver
REVB,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; speculative therapeutic pipeline
RLYB,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; speculative rare-disease pipeline
RNAZ,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; single-asset RNA therapeutic pipeline
RNTX,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; narrow clinical therapeutic pipeline
SLGL,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=commercial_profitable_quality_or_mature; source=user_approved_cohort_reorganization_20260830
SNGX,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; narrow clinical therapeutic pipeline
SNTI,platform_partnered_modality_pipeline,added from 2026-06-24 scoring universe; synthetic-biology/cell-therapy platform driver
SPRB,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; speculative endocrine therapeutic pipeline
SPRO,late_clinical_pivotal_or_registrational,added from 2026-06-24 scoring universe; late clinical anti-infective development driver
TIL,platform_partnered_modality_pipeline,added from 2026-06-24 scoring universe; cell-therapy platform pipeline driver
TNXP,commercial_turnaround_or_unprofitable_growth,added from 2026-06-24 scoring universe; commercial launch and clinical execution driver
TPST,late_clinical_pivotal_or_registrational,added from 2026-06-24 scoring universe; phase 2/3 oncology development driver
TRAW,late_clinical_pivotal_or_registrational,added from 2026-06-24 scoring universe; phase 2/3 therapeutic development driver
TTRX,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; narrow clinical therapeutic pipeline
TVRD,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; early clinical oncology/fibrosis pipeline
VERU,commercial_turnaround_or_unprofitable_growth,added from 2026-06-24 scoring universe; commercial/clinical turnaround driver
VRCA,commercial_turnaround_or_unprofitable_growth,added from 2026-06-24 scoring universe; commercial dermatology execution driver
XBIO,early_clinical_speculative_or_single_asset_pipeline,added from 2026-06-24 scoring universe; speculative therapeutic pipeline
AKAO,commercial_turnaround_or_unprofitable_growth,verified distressed/delisted calibration candidate; source=user_attachment_3fad7fd2_20260627; exit_type=bankruptcy_asset_sale; recovery_type=wipeout
APTX,early_clinical_speculative_or_single_asset_pipeline,verified distressed/delisted calibration candidate; source=user_attachment_3fad7fd2_20260627; exit_type=wind_down_likely_wipeout; recovery_type=wipeout
CDAK,platform_partnered_modality_pipeline,verified distressed/delisted calibration candidate; source=user_attachment_3fad7fd2_20260627; exit_type=bankruptcy_asset_sale_likely_wipeout; recovery_type=wipeout
GRTS,platform_partnered_modality_pipeline,verified distressed/delisted calibration candidate; source=user_attachment_3fad7fd2_20260627; exit_type=bankruptcy_restructuring_likely_wipeout; recovery_type=wipeout
HGEN,early_clinical_speculative_or_single_asset_pipeline,verified distressed/delisted calibration candidate; source=user_attachment_3fad7fd2_20260627; exit_type=bankruptcy_likely_wipeout; recovery_type=wipeout
INSY,commercial_turnaround_or_unprofitable_growth,verified distressed/delisted calibration candidate; source=user_attachment_3fad7fd2_20260627; exit_type=bankruptcy_liability_driven; recovery_type=wipeout
MLNT,commercial_turnaround_or_unprofitable_growth,verified distressed/delisted calibration candidate; source=user_attachment_3fad7fd2_20260627; exit_type=bankruptcy_reorganization_wipeout; recovery_type=wipeout
OMGA,platform_partnered_modality_pipeline,verified distressed/delisted calibration candidate; source=user_attachment_3fad7fd2_20260627; exit_type=bankruptcy_wind_down_likely_wipeout; recovery_type=wipeout
SYBX,platform_partnered_modality_pipeline,verified distressed/delisted calibration candidate; source=user_attachment_3fad7fd2_20260627; exit_type=wind_down_likely_wipeout; recovery_type=wipeout
TTPH,commercial_turnaround_or_unprofitable_growth,verified distressed/delisted calibration candidate; source=user_attachment_3fad7fd2_20260627; exit_type=distressed_acquisition_cash_cvr; recovery_type=cash_cvr
ETON,commercial_turnaround_or_unprofitable_growth,user-approved active issuer intake 2026-08-22
RPRX,commercial_profitable_quality_or_mature,user-approved active issuer intake 2026-08-22
ACOG,commercial_turnaround_or_unprofitable_growth,user-approved active issuer intake 2026-08-22
GYRE,commercial_turnaround_or_unprofitable_growth,user-approved active issuer intake 2026-08-22
KLRA,late_clinical_pivotal_or_registrational,user-approved active issuer intake 2026-08-22
KARD,late_clinical_pivotal_or_registrational,user-approved active issuer intake 2026-08-22
